头实体,关系,尾实体,依据,文献
A3（15-15-15）肥料配比,促进,蛋白质,施肥后显著提高了马铃薯的蛋白质含量，其中A3（15-15-15）肥料配比施用量为1200 kg/hm2时，蛋白质含量比未施肥处理组高28.16%。,不同氮磷钾配比复合肥及施用...薯产量和肥料利用效率的影响_杨琴
A3（15-15-15）肥料配比,促进,还原糖,在A3（15-15-15）肥料配比施用量为1200 kg/hm2时，还原糖含量比未施肥组提高76.19%。,不同氮磷钾配比复合肥及施用...薯产量和肥料利用效率的影响_杨琴
A3（15-15-15）肥料配比,促进,淀粉,研究显示，在A3（15-15-15）肥料配比施用量为1200 kg/hm2时，淀粉含量达到16.25%，比未施肥组提高21.72%。,不同氮磷钾配比复合肥及施用...薯产量和肥料利用效率的影响_杨琴
A1（18-5-25）肥料配比,促进,维生素C,在A1（18-5-25）肥料配比施用量为1500 kg/hm2时，马铃薯块茎VC含量达到最高，比未施肥组提高18.54%。,不同氮磷钾配比复合肥及施用...薯产量和肥料利用效率的影响_杨琴
土壤有机质含量,促进,氮利用率,研究表明，土壤有机质含量越高，马铃薯块茎对氮的需求量越低，从而提高氮的利用率。,不同氮磷钾配比复合肥及施用...薯产量和肥料利用效率的影响_杨琴
适量的硫,促进,干物质,实验表明，适量施入硫能促进马铃薯干物质积累，从而提高氮肥利用率。,不同氮磷钾配比复合肥及施用...薯产量和肥料利用效率的影响_杨琴
钾肥不足,抑制,淀粉,研究显示，钾肥不足会导致叶片皱缩，抑制根系发育和光合作用，从而影响淀粉积累。,不同氮磷钾配比复合肥及施用...薯产量和肥料利用效率的影响_杨琴
施氮120 kg·hm-2,促进,干物质,与不施氮处理相比，施氮120 kg·hm-2时马铃薯块茎干物质积累量增加91.6%，为最高。,不同氮水平对马铃薯块茎增长、产量和维生素C含量的影响_焦峰
施氮120 kg·hm-2,先增后降,维生素C,在块茎发育过程中，块茎维生素C含量随着施氮量的增加先增后降，过高的氮肥用量显著降低发育后期的维生素C含量。,不同氮水平对马铃薯块茎增长、产量和维生素C含量的影响_焦峰
施氮60 kg·hm-2,促进,维生素C,播种后91天和119天的块茎维生素C含量在施氮60 kg·hm-2处理下最高，比不施氮处理和过量施氮处理更高。,不同氮水平对马铃薯块茎增长、产量和维生素C含量的影响_焦峰
过量氮肥,抑制,维生素C,过量氮肥显著降低了马铃薯块茎发育后期的维生素C含量，比适量施氮处理降低了19.37%～41.58%。,不同氮水平对马铃薯块茎增长、产量和维生素C含量的影响_焦峰
生物有机肥600kg/hm2 + 马铃薯专用复合肥1125kg/hm2,促进,氨基酸,F2处理下青薯9号的氨基酸含量最高，达到2.27%，远高于其他处理。,不同肥料对马铃薯产量及品质的影响_李志玲
生物有机肥600kg/hm2 + 马铃薯专用复合肥1125kg/hm2,促进,氨基酸,F2处理下青薯10号的氨基酸含量最高，达到1.79%，显著高于其他处理。,不同肥料对马铃薯产量及品质的影响_李志玲
有机无机复混肥1125kg/hm2,促进,干物质,F3处理下青薯2号的干物质含量最高，且与F4处理无显著差异。,不同肥料对马铃薯产量及品质的影响_李志玲
有机无机复混肥1125kg/hm2,促进,氨基酸,F4处理下青薯2号的氨基酸含量达到2.98%，与F3处理无显著差异。,不同肥料对马铃薯产量及品质的影响_李志玲
缓释复混肥1125kg/hm2,抑制,还原糖,F2处理下青薯9号的还原糖含量最低，显著低于其他处理。,不同肥料对马铃薯产量及品质的影响_李志玲
配方肥+有机肥,促进,钾,研究表明，在配方肥基础上增加有机肥可加大马铃薯块茎的钾含量。,不同肥料对马铃薯产量及品质的影响_李志玲
配方肥,促进,维生素C,施加配方肥提高了马铃薯的VC含量。,不同肥料对马铃薯产量及品质的影响_李志玲
黑膜覆盖,抑制,绿薯率,黑膜覆盖处理的绿薯率最低，仅为2.51%，显著低于对照组88%。,不同覆盖方式对冬种马铃薯生长特性及产量与品质的影响
草+土覆盖,促进,商品薯率,草+土覆盖处理的商品薯率最高，达到78.12%，显著高于对照组。,不同覆盖方式对冬种马铃薯生长特性及产量与品质的影响
草+白膜覆盖,促进,干物质,草+白膜覆盖处理的干物质含量显著高于对照，达到19.20%。,不同覆盖方式对冬种马铃薯生长特性及产量与品质的影响
草+土覆盖,促进,淀粉,草+土覆盖处理的淀粉含量最高，达到13.58%，显著高于对照。,不同覆盖方式对冬种马铃薯生长特性及产量与品质的影响
草+黑膜覆盖,促进,维生素C,草+黑膜覆盖处理的维生素C含量最高，达到17.06 mg/100g，比对照显著提高。,不同覆盖方式对冬种马铃薯生长特性及产量与品质的影响
覆盖栽培,促进,单株薯块数,覆盖栽培提高了单株薯块数，其中草+白膜覆盖处理单株薯块数最高，为4.52个。,不同覆盖方式对冬种马铃薯生长特性及产量与品质的影响
覆盖栽培,促进,商品薯率,覆盖栽培显著提高了商品薯率，并减少了裂薯和空心现象。,不同覆盖方式对冬种马铃薯生长特性及产量与品质的影响
高海拔地区,促进,干物质,研究表明，久森1号和青薯9号在高海拔地区干物质含量显著高于低海拔地区。,不同海拔及品种对马铃薯品质的影响_胡婷园
高海拔地区,抑制,维生素C,随着海拔的升高，马铃薯块茎中的维生素C含量显著降低。,不同海拔及品种对马铃薯品质的影响_胡婷园
降雨量,促进,淀粉,研究表明，降雨量与马铃薯块茎中的淀粉含量显著正相关。,不同海拔及品种对马铃薯品质的影响_胡婷园
日照时长,抑制,还原糖,研究发现，日照时长与马铃薯还原糖含量显著负相关。,不同海拔及品种对马铃薯品质的影响_胡婷园
低海拔地区,促进,还原糖,低海拔地区的久森1号和青薯9号还原糖含量显著高于其他地区。,不同海拔及品种对马铃薯品质的影响_胡婷园
低海拔地区,促进,维生素C,低海拔地区的维生素C含量最高，与海拔升高呈显著负相关。,不同海拔及品种对马铃薯品质的影响_胡婷园
P2O5 用量90 kg/hm2,促进,干物质,研究表明，尤金在P2O5 用量为90 kg/hm2时，块茎干物质含量显著提高9.5%左右。,不同磷用量对马铃薯产量和品质的影响_程瑶
P2O5 用量135 kg/hm2,促进,干物质,研究表明，克新13号在P2O5 用量为135 kg/hm2时，块茎干物质含量增加10.8%。,不同磷用量对马铃薯产量和品质的影响_程瑶
P2O5 用量90 kg/hm2,促进,磷,研究显示，尤金在P2O5 用量为90 kg/hm2时，块茎磷积累量最高，较CK增加19.9%。,不同磷用量对马铃薯产量和品质的影响_程瑶
P2O5 用量135 kg/hm2,促进,磷,研究表明，克新13号在P2O5 用量为135 kg/hm2时，块茎磷积累量最高，较CK增加14.1%。,不同磷用量对马铃薯产量和品质的影响_程瑶
P2O5 用量135 kg/hm2,促进,淀粉透明度,研究显示，克新13号在P2O5 用量为135 kg/hm2时，淀粉透明度提高25.7%。,不同磷用量对马铃薯产量和品质的影响_程瑶
P2O5 用量90 kg/hm2,促进,淀粉膨胀度,研究表明，尤金在P2O5 用量为90 kg/hm2时，淀粉膨胀度提高3.9%。,不同磷用量对马铃薯产量和品质的影响_程瑶
P2O5 用量90 kg/hm2,促进,还原糖,研究显示，尤金在P2O5 用量为90 kg/hm2时，还原糖含量显著低于其他处理。,不同磷用量对马铃薯产量和品质的影响_程瑶
P2O5 用量90 kg/hm2,促进,硝酸盐,研究表明，尤金在P2O5 用量为90 kg/hm2时，块茎硝酸盐含量较CK降低21.3%。,不同磷用量对马铃薯产量和品质的影响_程瑶
P2O5 用量135 kg/hm2,抑制,直链淀粉,研究显示，克新13号在P2O5 用量为135 kg/hm2时，直链淀粉含量较CK下降9.1%。,不同磷用量对马铃薯产量和品质的影响_程瑶
复合肥1125kg/hm2+生物肥料300kg/hm2,促进,商品薯率,研究表明，在F2处理下，马铃薯商品薯率较高，且品质表现优于其他处理。,不同施肥组合对马铃薯产量及品质的影响_曾钰婷
复合肥1125kg/hm2+生物肥料300kg/hm2,促进,干物质,研究显示，F2处理下，青薯9号、艾玛土豆和中薯18号的干物质含量均较高。,不同施肥组合对马铃薯产量及品质的影响_曾钰婷
复合肥1125kg/hm2+生物肥料300kg/hm2,促进,氨基酸,实验结果显示，F2处理下，青薯9号和艾玛土豆的氨基酸含量显著高于其他处理。,不同施肥组合对马铃薯产量及品质的影响_曾钰婷
复合肥1125kg/hm2+生物肥料37.5kg/hm2,促进,干物质,研究表明，F4处理下艾玛土豆干物质含量较高，品质有所提升。,不同施肥组合对马铃薯产量及品质的影响_曾钰婷
复合肥+生物肥,促进,商品薯率,实验结果表明，复合肥+生物肥处理可提高商品薯率并改善品质。,不同施肥组合对马铃薯产量及品质的影响_曾钰婷
复合肥1125kg/hm2+生物肥料75kg/hm2,促进,氨基酸,研究显示，在F3处理下，中薯18号的氨基酸含量达到较高水平。,不同施肥组合对马铃薯产量及品质的影响_曾钰婷
复合肥1500kg/hm2,抑制,商品薯率,实验显示，F1处理下虽然产量高，但商品薯率较低。,不同施肥组合对马铃薯产量及品质的影响_曾钰婷
复合肥1125kg/hm2+生物肥料37.5kg/hm2,抑制,氨基酸,实验显示，F4处理下青薯9号的氨基酸含量较低，品质表现不佳。,不同施肥组合对马铃薯产量及品质的影响_曾钰婷
富硒高钙型有机肥和氨基酸螯合硒叶面肥,促进,硒,施用富硒高钙型有机肥和氨基酸螯合硒叶面肥均显著提高马铃薯块茎硒含量，G1处理的硒含量为CK的4.43倍。,不同硒肥施用模式对冬种马铃薯硒含量、产量及品质的影响_潘丽萍
氨基酸螯合硒叶面肥,促进,蛋白质,喷施氨基酸螯合硒叶面肥可显著提高马铃薯蛋白质含量，表现为与硒含量呈正相关。,不同硒肥施用模式对冬种马铃薯硒含量、产量及品质的影响_潘丽萍
富硒高钙型有机肥和氨基酸螯合硒叶面肥,促进,维生素C,施用该肥料后，维生素C含量与硒含量呈极显著正相关，显著高于对照组。,不同硒肥施用模式对冬种马铃薯硒含量、产量及品质的影响_潘丽萍
富硒高钙型有机肥,促进,淀粉,研究显示，提高富硒高钙型有机肥用量，淀粉含量随之增加，当用量为12000 kg/ha时达到显著水平。,不同硒肥施用模式对冬种马铃薯硒含量、产量及品质的影响_潘丽萍
氨基酸螯合硒叶面肥,抑制,还原糖,实验结果表明，硒素强化处理降低了马铃薯还原糖含量，与硒含量呈负相关。,不同硒肥施用模式对冬种马铃薯硒含量、产量及品质的影响_潘丽萍
氨基酸螯合硒叶面肥,促进,商品薯率,此处理显著提高了马铃薯商品率，兼顾了产量与品质。,不同硒肥施用模式对冬种马铃薯硒含量、产量及品质的影响_潘丽萍
富硒高钙型有机肥和氨基酸螯合硒叶面肥,先增后降,硒,随着施用量增加，硒含量先增加后达到饱和，用量过高反而不显著提升硒含量。,不同硒肥施用模式对冬种马铃薯硒含量、产量及品质的影响_潘丽萍
